				Salary Account

Employee Number		Salary Per Month	Benefits	Salary Account

111502			14000			 500		10003451
111503			16000			 300		10003452
111505			15000			 300		10003454
111506			17000			 400		10003455
111507			18000			 400		10003456
111501			24000			1000		10003450
111515			16000			 500		10003465
111516			11000			1000		10003466
111504			24000			 300		10003453
111512			26000			 800		10003462
111509			31000			 500		10003458
111510			12000			 600		10003460
111511			23000			 700		10003461
111513			39000			1000		10003463
111508			24000			 450		10003457
111514			13000			 100		10003464
